sub_section_name,is_relevant,section_name,main_section
Known Family History of,Yes,Hospitalist History &physical,History & Physical
Impression & Plan Summary,Yes,Hospitalist History &physical,History & Physical
PMHx,Yes,Hospitalist History &physical,History & Physical
Social Hx,Yes,Hospitalist History &physical,History & Physical
Data,Yes,Hospitalist History &physical,History & Physical
REASON FOR HOSPITALIZATION,Yes,Hospitalist History &physical,History & Physical
ALLERGIES AND INTOLERANCES,Yes,Hospitalist History &physical,History & Physical
History of Present Illness/Subjective,Yes,Hospitalist History &physical,History & Physical
Chronic Problem List,Yes,Hospitalist History &physical,History & Physical
Physical Exam/Objective,Yes,Hospitalist History &physical,History & Physical
Results,Yes,Hospitalist History &physical,History & Physical
CC,Yes,Hospitalist History &physical,History & Physical
Past History,Yes,Hospitalist History &physical,History & Physical
Diagnostics,Yes,Hospitalist History &physical,History & Physical
Secondary Survey,Yes,Hospitalist History &physical,History & Physical
Attending Assessment and Plan Attestation,Yes,Hospitalist History &physical,History & Physical
PERSONAL AND SOCIAL HISTORY,Yes,Hospitalist History &physical,History & Physical
SYSTEM REVIEW,Yes,Hospitalist History &physical,History & Physical
Free Text HPI Notes,Yes,Hospitalist History &physical,History & Physical
Medication/Allergy,Yes,Hospitalist History &physical,History & Physical
"Diagnosis, Assessment & Plan",Yes,Hospitalist History &physical,History & Physical
past Medical & surgical hx,Yes,Hospitalist History &physical,History & Physical
"Diagnosis, Assessment& Plan",Yes,Hospitalist History &physical,History & Physical
Free Text A&P,Yes,Hospitalist History &physical,History & Physical
Allergies/Intolerances,Yes,Hospitalist History &physical,History & Physical
Objective Data,Yes,Hospitalist History &physical,History & Physical
Risk factors,Yes,Hospitalist History &physical,History & Physical
General exam,Yes,Hospitalist History &physical,History & Physical
Ortho Exam,Yes,Hospitalist History &physical,History & Physical
Orders Added,No,Hospitalist History &physical,History & Physical
Assessment / Plan,Yes,Hospitalist History &physical,History & Physical
Home Medications Active,Yes,Hospitalist History &physical,History & Physical
Free Text Dx A&P Notes,Yes,Hospitalist History &physical,History & Physical
Medication Allergies,Yes,Hospitalist History& Physical,History & Physical
Review /Management,Yes,Hospitalist progress note,Progress Note
INDICATIONS FOR PROCEDURE,Yes,ICD Implant Report,OPERATIVE REPORT
"Studies, Labs, and Radiology:",Yes,ICU RESIDENT PROGRESS AND TRANSFER NOTE,Progress Note
"Studies, Labs, and Radiology:",Yes,ICU RESIDENT PROGRESS NOTE,Progress Note
Psychiatric History,Yes,INITIAL CONSULTATION NOTE,CONSULTATION REPORT
Review of Systems,Yes,Initial Consultation/History and Physical,CONSULTATION REPORT
HPI,Yes,Inpatient Cardiac Rehab Consult,CONSULTATION REPORT
Histories,Yes,INPATIENT CARDIOLOGY CONSULT,CONSULTATION REPORT
problem list/Past Medical History,Yes,INPATIENT CARDIOLOGY CONSULT,CONSULTATION REPORT
Radiology,No,Inpatient Discharge Instructions,Discharge Summary
Current Medications,Yes,Intensivist Progress Note,Progress Note
Chief Complaint,Yes,Interim Summary Note / Event Note,Progress Note
 Reason for Consultation,Yes,Interventional Cardiology Consult,CONSULTATION REPORT
PROCEDURE,Yes,Interventional Neuroradiology,OPERATIVE REPORT
NAME OF SURGEON,Yes,Intra operative Neurophysiological MonitoringReport,OPERATIVE REPORT
Summary of Findings,Yes,Intraoperative Notes,OPERATIVE REPORT
PRIMARY SURGEON,Yes,Invasive Cardiology Procedures,OPERATIVE REPORT
CBC and Automated Differential w/reflex [216506313] (Abnormal),Yes,Lab - All Results,LAB
Urinalysis [216129122] (Abnormal),Yes,Lab - All Results,LAB
CBC and Automated Differential w/reflex [216506313] (Abnormal),Yes,Lab - All Results (continued),LAB
Urinalysis [216129122] (Abnormal),Yes,Lab - All Results (continued),LAB
HEMATOLOGY,Yes,LABORATORY,LAB
URINALYSIS,Yes,LABORATORY,LAB
RESPIRATORY,Yes,LABORATORY,LAB
COAGULATION,Yes,LABORATORY,LAB
DESCRIPTION OF PROCEDURE,Yes,Main EP Report,OPERATIVE REPORT
Physical Examination:,Yes,Medical Progress Note,Progress Note
Hemogram,Yes,Medical Record,Medical Record
URINALYSIS,No,Medical Record,Medical Record
MOST RECENT LABS ON DAY OF DISCHARGE,No,MEDICATION DISCHARGE SUMMARY,Discharge Summary
History,Yes,Multidisciplinary Progress Notes,Progress Note
Disposition,Yes,Neuro ICU Progress Not,Progress Note
Impression and Plan,Yes,Neuro ICU Progress Note,Progress Note
Infectious,Yes,Neuro ICU Progress Note,Progress Note
Results,Yes,Neuro ICU Progress Note,Progress Note
Laboratory Data,Yes,Neuro ICU Progress Notes,Progress Note
Infectious,Yes,Neuro ICU Progress Notes,Progress Note
Results,Yes,Neuro ICU Progress Notes,Progress Note
Home Medications,Yes,Neuro Medical Progress Note,Progress Note
Infectious,Yes,Neuro Medical Progress Note,Progress Note
Assessment/Plan,Yes,Neuro Medical Progress Note,Progress Note
Vitals,No,NEUROCRITICAL CARE,Progress Note
Anesthesia,Yes,Neuroendovascular Brief Operative Note,OPERATIVE REPORT
STATEMENT OF TECHNIQUE,Yes,Neurosurgery Bedside Procedure Note,OPERATIVE REPORT
Chief Complaint/Proposed Procedures,Yes,NEUROSURGERY HISTORY AND PHYSICAL,History & Physical
Allergies,Yes,Neurosurgery ICU Progress Note,Progress Note
Assessment/Plan,Yes,NEUROSURGICAL PROGRESS NOTE,Progress Note
TRIAGE,Yes,Nurse's Clinical Report,Progress Note
EMS Treatment PTA:,Yes,Nurse's Clinical Report,Progress Note
SEPSIS SCREEN:,Yes,Nurse's Clinical Report,Progress Note
GLASGOW COMA SCORE:,Yes,Nurse's Clinical Report,Progress Note
Chief Complaint:,Yes,Nurse's Clinical Report,Progress Note
Medications:,Yes,Nurse's Clinical Report,Progress Note
PROBLEMS:,Yes,Nurse's Clinical Report,Progress Note
ADDITIONAL SURGERIES:,Yes,Nurse's Clinical Report,Progress Note
History,Yes,Nurse's Clinical Report,Progress Note
PHYSICAL ASSESSMENT,Yes,Nurse's Clinical Report,Progress Note
NURSING PROGRESS NOTES,Yes,Nurse's Clinical Report,Progress Note
DISPOSITION / DISCHARGE,Yes,Nurse's Clinical Report,Progress Note
Lab Results,Yes,Nursing Bedside Report,Progress Note
Cardiology Results:,Yes,Office Visit Report,MISC
Surgeon(s),Yes,Op Note,OPERATIVE REPORT
PROCEDURE IN DETAIl,Yes,Op Note - Encounter Notes,OPERATIVE REPORT
POSTERIOR OPERATIVE PROCEDURE,Yes,Op/proc Report and OR notes,OPERATIVE REPORT
Pre-Op Diagnosis,Yes,Op/Proc Report and OR Notes Only,OPERATIVE REPORT
Post-Op Diagnosis,Yes,OPERATING ROOM/SURGICAL REPORT,OPERATIVE REPORT
SURGICAL PROCEDURE(S) PERFORMED,Yes,Operative Note,OPERATIVE REPORT
POSTOPERATIVE DIAGNOSIS,Yes,Operative Notes,OPERATIVE REPORT
INDICATIONS,Yes,Operative Notes nd Reports,OPERATIVE REPORT
Operation,Yes,Operative Procedure,OPERATIVE REPORT
ecommendation,Yes,Operative Procedure,OPERATIVE REPORT
Assistant,Yes,Operative Procedure,OPERATIVE REPORT
postoperative plan,Yes,Operative Procedure,OPERATIVE REPORT
Pre-procedure diagnosis,Yes,Operative Procedure,OPERATIVE REPORT
Post-procedure diagnosis,Yes,Operative Procedure,OPERATIVE REPORT
Procedures performed,Yes,Operative Procedure,OPERATIVE REPORT
IMPRESSIONS,Yes,Operative Procedure,OPERATIVE REPORT
RECOMMENDATIONS,Yes,Operative Procedure,OPERATIVE REPORT
Diagnosis,Yes,Operative Procedure,OPERATIVE REPORT
ANESTHESIOLOGIST,Yes,Operative Procedure,OPERATIVE REPORT
Classification,Yes,Operative Procedure,OPERATIVE REPORT
Pre-ProcedureDiagnosis,Yes,Operative Procedure,OPERATIVE REPORT
Coronary Anatomy,Yes,Operative Procedure,OPERATIVE REPORT
Post Procedure Findings,Yes,Operative Procedure,OPERATIVE REPORT
INCISION,Yes,Operative Procedure,OPERATIVE REPORT
INDICATIONS FOR OPERATION,Yes,Operative Procedure,OPERATIVE REPORT
Physical Therapy Daily Note,Yes,Operative Procedure,OPERATIVE REPORT
FINDINGS AT SURGERY,Yes,Operative Procedure,OPERATIVE REPORT
ESTIMATED BLOOD LOS,Yes,Operative Procedure,OPERATIVE REPORT
Procedural details,Yes,Operative Procedure,OPERATIVE REPORT
Technique,Yes,Operative Procedure,OPERATIVE REPORT
Procedure Detail,Yes,Operative Procedure,OPERATIVE REPORT
Objective,Yes,Operative Procedure,OPERATIVE REPORT
Assessment and Plan,Yes,Operative Procedure,OPERATIVE REPORT
Technical Procedures Ilsted,Yes,Operative Procedure,OPERATIVE REPORT
Gross Description,Yes,Operative Procedure,OPERATIVE REPORT
Description of Procedure(,Yes,Operative Procedure,OPERATIVE REPORT
indications for the procedure,Yes,Operative Procedure,OPERATIVE REPORT
PREOPERATIVE DIAGNOSIS (ES),Yes,Operative Procedure,OPERATIVE REPORT
PROCEDURE (S) PERFORMED,Yes,Operative Procedure,OPERATIVE REPORT
POSTOPERATIVE DIAGNOSIS (ES),Yes,Operative Procedure,OPERATIVE REPORT
SPECIMEN (S),Yes,Operative Procedure,OPERATIVE REPORT
preoperative report,Yes,Operative Procedure,OPERATIVE REPORT
post operative report,Yes,Operative Procedure,OPERATIVE REPORT
Drains,Yes,Operative Procedure,OPERATIVE REPORT
Indication for procedure,Yes,Operative Procedure,OPERATIVE REPORT
Discription procedure,Yes,Operative Procedure,OPERATIVE REPORT
General Information,Yes,Operative Procedure,OPERATIVE REPORT
Case Tracking Events,Yes,Operative Procedure,OPERATIVE REPORT
Event Tracking,Yes,Operative Procedure,OPERATIVE REPORT
Panel Information,Yes,Operative Procedure,OPERATIVE REPORT
Surgeons,Yes,Operative Procedure,OPERATIVE REPORT
Staff,Yes,Operative Procedure,OPERATIVE REPORT
Anesthesia Staff,Yes,Operative Procedure,OPERATIVE REPORT
Questionnaire Data,Yes,Operative Procedure,OPERATIVE REPORT
Patient Preparation,Yes,Operative Procedure,OPERATIVE REPORT
Skin Condition,Yes,Operative Procedure,OPERATIVE REPORT
Handoff Documentation,Yes,Operative Procedure,OPERATIVE REPORT
Specimens,Yes,Operative Procedure,OPERATIVE REPORT
Other Equipment,Yes,Operative Procedure,OPERATIVE REPORT
Electrosurgery Devices,Yes,Operative Procedure,OPERATIVE REPORT
Instruments,Yes,Operative Procedure,OPERATIVE REPORT
Supplies & Drugs,Yes,Operative Procedure,OPERATIVE REPORT
Post-op Skin Information,Yes,Operative Procedure,OPERATIVE REPORT
Counts by Panel,Yes,Operative Procedure,OPERATIVE REPORT
Timeouts,Yes,Operative Procedure,OPERATIVE REPORT
Case Completion Information,Yes,Operative Procedure,OPERATIVE REPORT
Verification Information,Yes,Operative Procedure,OPERATIVE REPORT
OPERATION PERFORMED,Yes,Operative Procedure,OPERATIVE REPORT
OPERATIVE DESCRIPTION,Yes,Operative Procedure,OPERATIVE REPORT
RADIOGRAPHIC ASSESSMENT,Yes,Operative Procedure,OPERATIVE REPORT
DATE OF OPERATION/PROCEDURE,Yes,Operative Procedure,OPERATIVE REPORT
DESCRIPTION OF THE OPERATION IN BRIEF,Yes,Operative Procedure,OPERATIVE REPORT
BLOOD LOSS,Yes,Operative Procedure,OPERATIVE REPORT
OPERATION IN DETAIL,Yes,Operative Procedure,OPERATIVE REPORT
DETAILS OF THE PROCEDURE,Yes,Operative Procedure,OPERATIVE REPORT
Specimen,Yes,Operative Procedure,OPERATIVE REPORT
Operative Procedure Performed,Yes,Operative Procedure,OPERATIVE REPORT
Type of Anesthesia,Yes,Operative Procedure,OPERATIVE REPORT
Complaints,Yes,Operative Procedure,OPERATIVE REPORT
Operative Procedure technique,Yes,Operative Procedure,OPERATIVE REPORT
Date of Operation,Yes,Operative Procedure,OPERATIVE REPORT
Indications for Surgery/Procedure,Yes,Operative Procedure,OPERATIVE REPORT
Description of Findings,Yes,Operative Procedure,OPERATIVE REPORT
Technical/Surgical Procedures Used,Yes,Operative Procedure,OPERATIVE REPORT
Specimens/Tissue Removed,Yes,Operative Procedure,OPERATIVE REPORT
Hospital Medications,Yes,Operative Procedure,OPERATIVE REPORT
Home Medications / Respiratory Treatment,Yes,Operative Procedure,OPERATIVE REPORT
Medical History,Yes,Operative Procedure,OPERATIVE REPORT
Surgical History,Yes,Operative Procedure,OPERATIVE REPORT
Additional Historw/ROS,Yes,Operative Procedure,OPERATIVE REPORT
Operative Summary,Yes,Operative Procedure,OPERATIVE REPORT
PROSTHETIC DEVICES,Yes,Operative Procedure,OPERATIVE REPORT
Date of Surgery,Yes,Operative Procedure,OPERATIVE REPORT
Preop Diagnosis,Yes,Operative Procedure,OPERATIVE REPORT
Postop Diagnosis,Yes,Operative Procedure,OPERATIVE REPORT
DATE OF PROCEDURE,Yes,Operative Procedure,OPERATIVE REPORT
DISPOSITION,Yes,Operative Procedure,OPERATIVE REPORT
OPERATIVE REPORT,Yes,Operative Procedure,OPERATIVE REPORT
Postoperative Information,Yes,Operative Procedure,OPERATIVE REPORT
Subjective,Yes,Operative Procedure,OPERATIVE REPORT
Assessment,Yes,Operative Procedure,OPERATIVE REPORT
Procedure Name,Yes,Operative Procedure,OPERATIVE REPORT
Procedure Findings,Yes,Operative Procedure,OPERATIVE REPORT
OPERATIVE FINDINGS,Yes,Operative Procedure,OPERATIVE REPORT
DESCRIPTION OF THE PROCEDURE,Yes,Operative Procedure,OPERATIVE REPORT
HISTORY OF PRESENT ILLNESS AND DOCUMENTATION OF INFORMED CO,Yes,Operative Procedure,OPERATIVE REPORT
IMPLANTED MATERIAL,Yes,Operative Procedure,OPERATIVE REPORT
STIMULATION THRESHOLDS,Yes,Operative Procedure,OPERATIVE REPORT
BRADY PARAMETER SETTINGS,Yes,Operative Procedure,OPERATIVE REPORT
TACHY PARAMETER SETTINGS,Yes,Operative Procedure,OPERATIVE REPORT
Detailed description of procedure,Yes,Operative Procedure,OPERATIVE REPORT
Attestation,Yes,Operative Procedure,OPERATIVE REPORT
Procedure Summary,Yes,Operative Procedure,OPERATIVE REPORT
Procedure(s),Yes,Operative Procedure,OPERATIVE REPORT
Procedure Description,Yes,Operative Procedure,OPERATIVE REPORT
ESTIMATED FLOOD LOSS,Yes,Operative Procedure,OPERATIVE REPORT
Procedural Background,Yes,Operative Procedure,OPERATIVE REPORT
Other Procedures,Yes,Operative Procedure,OPERATIVE REPORT
Anesthesia Type,Yes,Operative Procedure,OPERATIVE REPORT
Implants and Tissue,Yes,Operative Procedure,OPERATIVE REPORT
Specimen(s),Yes,Operative Procedure,OPERATIVE REPORT
Impression/Plan,Yes,Operative Procedure,OPERATIVE REPORT
PROCEDURE IN DETAIL,Yes,Operative Procedure,OPERATIVE REPORT
PROCEDURES DONE,Yes,Operative Procedure,OPERATIVE REPORT
Surgery start date/time,Yes,Operative Procedure,OPERATIVE REPORT
Name of procedure,Yes,Operative Procedure,OPERATIVE REPORT
Complication(s),Yes,Operative Procedure,OPERATIVE REPORT
Description of technique/procedure,Yes,Operative Procedure,OPERATIVE REPORT
Anesthesi,Yes,Operative Procedure,OPERATIVE REPORT
Operative Indications,Yes,Operative Procedure,OPERATIVE REPORT
Cardiac Catheterization Procedure Report,Yes,Operative Procedure,OPERATIVE REPORT
PREOPERATIVE DIAGNOSIS,Yes,OPERATIVE REPORT,OPERATIVE REPORT
Addendum,Yes,Operative Report Note,OPERATIVE REPORT
BRIEF HISTORY,Yes,Operative Report Proc. Note,OPERATIVE REPORT
ESTIMATED BLOOD LOSS,Yes,Operative/procedure note,OPERATIVE REPORT
Patient Condition,Yes,Operative/Procedure Reports,OPERATIVE REPORT
Chief complaint Description,Yes,Orthopaedic Progress Note,Progress Note
Reason for Procedure,Yes,Orthopedics Operative Note,OPERATIVE REPORT
INDICATION,Yes,Other Procedures,OPERATIVE REPORT
LABS,Yes,Otolaryngology Daily Progress Not,Progress Note
INITIAL CONSULTATION NOTE,Yes,Palliative Care,MISC
Palliative Care Follow Up,Yes,Palliative Care,MISC
Diagnostics:,Yes,Palliative Care,MISC
Diagnostics:,Yes,Palliative Care,MISC
lab results,Yes,Palliative Medicine Consult,CONSULTATION REPORT
Review / Management,Yes,Patient Discharge Instructions,Discharge Summary
Findings,Yes,Patient Fluoroscopy Radiation Dose Information,OPERATIVE REPORT
Consent,Yes,Perioperative Documentation,OPERATIVE REPORT
Description of Procedure(s),Yes,Perioperative Documentation,OPERATIVE REPORT
SPECIMEN(S) REMOVED,Yes,Perioperative Nursing Note - Encounter Notes,OPERATIVE REPORT
COMPLICATIONS,Yes,Perioperative Record,OPERATIVE REPORT
PLACEMENT OF THE PEDICLE SCREW INSTRUMENTATION,Yes,PERMANENT MEDICAL RECORD COPY,OPERATIVE REPORT
Recent Labs,Yes,Pharmacy Progress Note,Progress Note
Discharge Instructions,Yes,Physician Discharge Summary,Discharge Summary
Hematology,Yes,Physician Progress Note,Progress Note
Hematology Basic - Last 36 hours (20),Yes,Physician Progress Note,Progress Note
Laboratory Data:,Yes,Physician Progress Note,Progress Note
LABORATORY STUDIES:,Yes,Physician Progress Note,Progress Note
CBC WITH DIFFERENTIAL,Yes,Physician Progress Note,Progress Note
CBC WITHOUT DIFFERENTIAL,Yes,Physician Progress Note,Progress Note
Urinalysis,Yes,Physician Progress Note,Progress Note
Urinalysis - Last 36 hours (18),Yes,Physician Progress Note,Progress Note
Health Status,Yes,Physician Progress Notes,Progress Note
Hematology,Yes,Physician Progress Notes,Progress Note
Hematology Basic - Last 36 hours (25),Yes,Physician Progress Notes,Progress Note
Laboratory Data:,Yes,Physician Progress Notes,Progress Note
LABORATORY STUDIES:,Yes,Physician Progress Notes,Progress Note
CBC WITH DIFFERENTIAL,Yes,Physician Progress Notes,Progress Note
CBC WITHOUT DIFFERENTIAL,Yes,Physician Progress Notes,Progress Note
Urinalysis,Yes,Physician Progress Notes,Progress Note
Urinalysis - Last 36 hours (18),Yes,Physician Progress Notes,Progress Note
Lab Results,Yes,Physician Progress Notes,Progress Note
Recent Labs,Yes,Physician Progress Notes,Progress Note
BMP:,Yes,Physician Progress Notes,Progress Note
LFTS: ,Yes,Physician Progress Notes,Progress Note
Recent pertinent labs:,Yes,Physician Progress Notes,Progress Note
Labs:,Yes,Physician Progress Notes,Progress Note
Physical Examination,Yes,Physician Progress Notes,Progress Note
HISTORY OF PRESENT ILLNESS,Yes,Physician's Clinical Report,Progress Note
REVIEW OF SYSTEMS,Yes,Physician's Clinical Report,Progress Note
SOCIAL HISTORY,No,Physician's Clinical Report,Progress Note
PHYSICAL EXAM,Yes,Physician's Clinical Report,Progress Note
ADDITIONAL NOTES,Yes,Physician's Clinical Report,Progress Note
"LABS, X-RAYS, AND EKG",Yes,Physician's Clinical Report,Progress Note
Laboratory Tests:,Yes,Physician's Clinical Report,Progress Note
Urine Microscopic Exam:,No,Physician's Clinical Report,Progress Note
CMP: (COLL: 06/07/2021 23:55),Yes,Physician's Clinical Report,Progress Note
Final Results,Yes,Physician's Clinical Report,Progress Note
Pathology result,Yes,PLASTIC SURGERY PROGRESS NOTE,Progress Note
POSTERIOR OPERATION,Yes,POST OP NOTE,OPERATIVE REPORT
ANTERIOR OPERATION,Yes,POST-OPERATIVE NOTES,OPERATIVE REPORT
OBJECTIVE - MEDICINE,Yes,POST-OPERATIVE PROGRESS NOTES,Progress Note
DESCRIPTION OF PROCEDUR,Yes,POST-OPERATIVE PROGRESS NOTES,OPERATIVE REPORT
I/O,Yes,POST-PROCEDURAL PROGRESS NOTES,Progress Note
Medical History,Yes,Pre and Post Anesthesia Evaluation, PREOPERATIVE EVAluation -Anesthesia
Surgical History,Yes,Pre and Post Anesthesia Evaluation, PREOPERATIVE EVAluation -Anesthesia
Additional Historw/ROS,Yes,Pre and Post Anesthesia Evaluation, PREOPERATIVE EVAluation -Anesthesia
Date/Time procedure performed,Yes,Pre and Post Anesthesia Evaluation, PREOPERATIVE EVAluation -Anesthesia
Location,Yes,Pre and Post Anesthesia Evaluation, PREOPERATIVE EVAluation -Anesthesia
Pre-Procedure Diagnosis/Indication,Yes,Pre and Post Anesthesia Evaluation, PREOPERATIVE EVAluation -Anesthesia
Post-ProcedureDiagnosis,Yes,Pre and Post Anesthesia Evaluation, PREOPERATIVE EVAluation -Anesthesia
Performing Clinician,Yes,Pre and Post Anesthesia Evaluation, PREOPERATIVE EVAluation -Anesthesia
Anesthesia Sedation Assessment,Yes,Pre and Post Anesthesia Evaluation, PREOPERATIVE EVAluation -Anesthesia
Arterial Line Insertion,Yes,Pre and Post Anesthesia Evaluation, PREOPERATIVE EVAluation -Anesthesia
Procedure Findings,Yes,Pre and Post Anesthesia Evaluation, PREOPERATIVE EVAluation -Anesthesia
OPENING OF THE POSTERIOR WOUND,Yes,PRE-OP ASSESSMENTS,OPERATIVE REPORT
Procedure(s),Yes,PRE-OP/OSU ASSESSMENTS,OPERATIVE REPORT
Date of Procedure,Yes,PREOPERATIVE EVAluation -Anesthesia,OPERATIVE REPORT
Hospital Medications,Yes,PREOPERATIVE EVAluation -Anesthesia, PREOPERATIVE EVAluation -Anesthesia
TYPE OF ANESTHESIA ADMINISTERED,Yes,Preoperative Orders — Cardio- Vascular/ Thoracic Procedures,OPERATIVE REPORT
RESULTS OF INTERVENTION,Yes,Preprocedure Note,OPERATIVE REPORT
CONCLUSIONS,Yes,procedure,OPERATIVE REPORT
PROCEDURES,Yes,PROCEDURE - Encounter Notes,OPERATIVE REPORT
Instructions to Medical Records,Yes,procedure note,OPERATIVE REPORT
Home Medications / Respiratory Treatment,Yes,Procedure Note - Anesthesia, PREOPERATIVE EVAluation -Anesthesia
DATE OF SERVICE,Yes,Procedure Notes,OPERATIVE REPORT
Indication for Surgery,Yes,Procedure report,OPERATIVE REPORT
IMPRESSION,Yes,Procedures,OPERATIVE REPORT
Operation/Procedure Performed,Yes,Procedures - Surgical/Procedural Notes,OPERATIVE REPORT
Physical Examination,Yes,Progress Note,Progress Note
CBC,Yes,Progress Note,Progress Note
CBC WITH DIFFERENTIAL,Yes,Progress Note,Progress Note
CBC WITHOUT DIFFERENTIAL,Yes,Progress Note,Progress Note
Urinalysis,Yes,Progress Note,Progress Note
Urinalysis - Last 36 hours (18),Yes,Progress Note,Progress Note
Laboratory Tests,Yes,Progress Note,Progress Note
Laboratory results,Yes,Progress Note,Progress Note
Laboratory Tests,Yes,Progress Note,Progress Note
Lab Results,Yes,Progress Note,Progress Note
Lab Results,Yes,Progress Note,Progress Note
Recent Labs,Yes,Progress Note,Progress Note
Recent Labs,Yes,Progress Note,Progress Note
Recent Labs,Yes,Progress Note,Progress Note
BMP:,Yes,Progress Note,Progress Note
LFTS: ,Yes,Progress Note,Progress Note
Recent pertinent labs:,Yes,Progress Note,Progress Note
Labs:,Yes,Progress Note,Progress Note
Results review: Lab results,Yes,Progress Note,Progress Note
PLAN,Yes,Progress Note - Generic,Progress Note
Laboratory Data:,Yes,Progress Note - Medical .- Internal Medicine,Progress Note
Diagnostics,Yes,Progress Note - Surgical-Neurosurgery,Progress Note
Basic Information,Yes,Progress Note-Medical Provider,Progress Note
Subjective ,Yes,Progress Notes,Progress Note
MEDICATIONS,Yes,Progress Notes,Progress Note
BMP:,Yes,Progress Notes,Progress Note
LFTS: ,Yes,Progress Notes,Progress Note
Recent pertinent labs:,Yes,Progress Notes,Progress Note
Labs:,Yes,Progress Notes,Progress Note
Cells,Yes,Progress Notes,Progress Note
Differential,Yes,Progress Notes,Progress Note
Leukocycte Data,Yes,Progress Notes,Progress Note
Morphology,No,Progress Notes,Progress Note
CBC,Yes,Progress Notes,Progress Note
CBC Differential,Yes,Progress Notes,Progress Note
Results review: Lab results,Yes,Progress Notes,Progress Note
Results:,Yes,Progress Notes - All Other Notes (continued),Progress Note
Recent Labs,Yes,Progress Notes - All Other Notes (continued),Progress Note
MICROBIOLOGY,Yes,Progress Notes - All Other Notes (continued),Progress Note
Laboratory Tests,Yes,Progress Notes - All Other Notes (continued),Progress Note
RADIOLOGY,Yes,Progress Notes - All Other Notes (continued),Progress Note
CBC:,Yes,Progress Notes - All Other Notes (continued),Progress Note
Recent Labs,Yes,Progress Notes - All Other Notes (continued),Progress Note
CMP:,Yes,Progress Notes - All Other Notes (continued),Progress Note
Assessment,Yes,Progress Notes - All Other Notes (continued),Progress Note
Diagnosis,Yes,Progress Notes - Nursing,Progress Note
Review / Management,Yes,PROGRESS NOTES (Continued),Progress Note
Cardiac Testing,No,Progress Notes:,Progress Note
Allergies:,Yes,Progress Quick Note,Progress Note
Family/Social History,Yes,Progress Quick Note,Progress Note
INTERVENTIONAL CARDIOLOGY FOLLOW UP NOTE[,Yes,Progress Quick Note,Progress Note
Assessment/Rec,Yes,Progress Quick Note,Progress Note
PLAN AND DISCUSSION,Yes,Progress Quick Note,Progress Note
DATE OF SERVICE,Yes,Progress Quick Note,Progress Note
PAST MEDICAL HISTORY,Yes,Progress Quick Note,Progress Note
PAST SURGICAL HISTORY,Yes,Progress Quick Note,Progress Note
FAMILY HISTORY,Yes,Progress Quick Note,Progress Note
SOCIAL HISTORY,Yes,Progress Quick Note,Progress Note
CURRENT VITAL SIGNS,Yes,Progress Quick Note,Progress Note
Problem list,Yes,Progress Quick Note,Progress Note
Current Medication:,Yes,Progress Quick Note,Progress Note
Medical History,Yes,Progress Quick Note,Progress Note
Exam,Yes,Progress Quick Note,Progress Note
Instructions,Yes,Progress Quick Note,Progress Note
Labs and Diagnostics,No,Progress Quick Note,Progress Note
BASIC INFO,No,Progress Quick Note,Progress Note
"Lines, Tubes and Drains",Yes,Progress Quick Note,Progress Note
INTAKE/OUTPUT TOTALS,Yes,Progress Quick Note,Progress Note
RADIOLOGY REPORTS,Yes,Progress Quick Note,Progress Note
ASSESSMENT:,Yes,Progress Quick Note,Progress Note
Completed Action List,Yes,Progress Quick Note,Progress Note
PN - Pharmacy,Yes,Progress Quick Note,Progress Note
Objective/Exam,Yes,Progress Quick Note,Progress Note
Lab Result Diagram,Yes,Progress Quick Note,Progress Note
Imaging and Cardiology,Yes,Progress Quick Note,Progress Note
Laboratory Dat,Yes,Progress Quick Note,Progress Note
Reason for Admission,Yes,Progress Quick Note,Progress Note
History of Present Illness:,Yes,Progress Quick Note,Progress Note
Hospital Course/Interval History,Yes,Progress Quick Note,Progress Note
ROS,Yes,Progress Quick Note,Progress Note
HPI,Yes,Progress Quick Note,Progress Note
PMH/PSH,Yes,Progress Quick Note,Progress Note
PHISICAL EXAM,Yes,Progress Quick Note,Progress Note
DATA,Yes,Progress Quick Note,Progress Note
ATTENDING ATTESTATION,No,Progress Quick Note,Progress Note
Reason for Hospitalization,Yes,Progress Quick Note,Progress Note
Brief History,Yes,Progress Quick Note,Progress Note
Discharge Diagnoses,Yes,Progress Quick Note,Progress Note
Discharge Medications,Yes,Progress Quick Note,Progress Note
Plan/Recommendations,Yes,Progress Quick Note,Progress Note
Clinical Data,Yes,Progress Quick Note,Progress Note
Outpatient Medications,Yes,Progress Quick Note,Progress Note
Prgblem List/Past Medical History,Yes,Progress Quick Note,Progress Note
Professional Services,Yes,Progress Quick Note,Progress Note
Intake & Output 3 Day Summary,Yes,Progress Quick Note,Progress Note
SICU History and Physical,Yes,Progress Quick Note,Progress Note
Consultants:,Yes,Progress Quick Note,Progress Note
Documented Medications,Yes,Progress Quick Note,Progress Note
Problem list:,Yes,Progress Quick Note,Progress Note
Completed Action List:,Yes,Progress Quick Note,Progress Note
Completed Action Lid,Yes,Progress Quick Note,Progress Note
Prgbiem List/Past Medical History,Yes,Progress Quick Note,Progress Note
Short Term PT Goals Grid,Yes,Progress Quick Note,Progress Note
Lona Term PT Goals Grid,Yes,Progress Quick Note,Progress Note
General Info,Yes,Progress Quick Note,Progress Note
Primary Pain,Yes,Progress Quick Note,Progress Note
